method,kappa,size,mode,repeat,position,cost,duration_s
Co-HeT,2,10,greedy,2,4,10.096475601196289,0.04939532279968262
Co-HeT,2,10,greedy,2,5,7.93282413482666,0.049431562423706055
Co-HeT,2,10,greedy,2,6,7.995273113250732,0.04911661148071289
Co-HeT,2,10,greedy,2,7,6.99343204498291,0.049021005630493164
Co-HeT,2,10,greedy,2,8,8.085613250732422,0.04959440231323242
Co-HeT,2,10,greedy,2,9,7.663234233856201,0.049350738525390625
Co-HeT,2,10,greedy,2,10,9.349239349365234,0.049437761306762695
Co-HeT,2,10,greedy,2,11,8.748815536499023,0.04941916465759277
Co-HeT,2,10,greedy,2,12,5.727897644042969,0.049402475357055664
Co-HeT,2,10,greedy,2,13,7.551692962646484,0.04934287071228027
Co-HeT,2,10,greedy,2,14,8.486483573913574,0.049352169036865234
Co-HeT,2,10,greedy,2,15,6.829237461090088,0.04932832717895508
Co-HeT,2,10,greedy,2,16,7.7911882400512695,0.04935812950134277
Co-HeT,2,10,greedy,2,17,7.994119167327881,0.04934191703796387
Co-HeT,2,10,greedy,2,18,9.370567321777344,0.04926180839538574
Co-HeT,2,10,greedy,2,19,7.352000713348389,0.049269676208496094
Co-HeT,2,10,greedy,2,20,8.029987335205078,0.04935812950134277
Co-HeT,2,10,greedy,2,21,7.788564205169678,0.04934096336364746
Co-HeT,2,10,greedy,2,22,6.535861968994141,0.04935169219970703
Co-HeT,2,10,greedy,2,23,8.69517707824707,0.049283504486083984
Co-HeT,2,10,greedy,2,24,8.768150329589844,0.04933643341064453
Co-HeT,2,10,greedy,2,25,9.69514274597168,0.04932975769042969
Co-HeT,2,10,greedy,2,26,7.580510139465332,0.04932546615600586
Co-HeT,2,10,greedy,2,27,7.749669075012207,0.04928994178771973
Co-HeT,2,10,greedy,2,28,7.4415178298950195,0.04937863349914551
Co-HeT,2,10,greedy,2,29,10.24957275390625,0.04955291748046875
Co-HeT,2,10,greedy,2,30,6.832896709442139,0.049457550048828125
Co-HeT,2,10,greedy,2,31,9.416681289672852,0.049399375915527344
Co-HeT,2,10,greedy,2,32,6.936819553375244,0.04930520057678223
Co-HeT,2,10,greedy,2,33,5.875850677490234,0.04930377006530762
Co-HeT,2,10,greedy,2,34,8.3838529586792,0.04940605163574219
Co-HeT,2,10,greedy,2,35,8.24173641204834,0.049356698989868164
Co-HeT,2,10,greedy,2,36,7.348931789398193,0.04923605918884277
Co-HeT,2,10,greedy,2,37,11.04319953918457,0.049268245697021484
Co-HeT,2,10,greedy,2,38,8.43365478515625,0.04926300048828125
Co-HeT,2,10,greedy,2,39,7.913762092590332,0.049276113510131836
Co-HeT,2,10,greedy,2,40,10.189449310302734,0.049344778060913086
Co-HeT,2,10,greedy,2,41,7.902688026428223,0.049257755279541016
Co-HeT,2,10,greedy,2,42,9.4970703125,0.04928922653198242
Co-HeT,2,10,greedy,2,43,8.605348587036133,0.04939532279968262
Co-HeT,2,10,greedy,2,44,9.2509183883667,0.04922175407409668
Co-HeT,2,10,greedy,2,45,8.353164672851562,0.04924607276916504
Co-HeT,2,10,greedy,2,46,8.13027572631836,0.04927802085876465
Co-HeT,2,10,greedy,2,47,6.044904708862305,0.049390554428100586
Co-HeT,2,10,greedy,2,48,9.375564575195312,0.049337148666381836
Co-HeT,2,10,greedy,2,49,6.934069633483887,0.04928326606750488
Co-HeT,2,10,greedy,2,50,5.399694919586182,0.04928755760192871
Co-HeT,2,10,greedy,2,51,8.486738204956055,0.049288272857666016
Co-HeT,2,10,greedy,2,52,6.0738677978515625,0.04933476448059082
Co-HeT,2,10,greedy,2,53,9.049461364746094,0.04928278923034668
Co-HeT,2,10,greedy,2,54,6.50479793548584,0.04935145378112793
Co-HeT,2,10,greedy,2,55,8.052205085754395,0.04933905601501465
Co-HeT,2,10,greedy,2,56,8.0940580368042,0.04938983917236328
Co-HeT,2,10,greedy,2,57,7.01737117767334,0.0490114688873291
Co-HeT,2,10,greedy,2,58,8.082242012023926,0.048874855041503906
Co-HeT,2,10,greedy,2,59,9.973691940307617,0.04883551597595215
Co-HeT,2,10,greedy,2,60,6.597553730010986,0.04906654357910156
Co-HeT,2,10,greedy,2,61,8.813932418823242,0.049492835998535156
Co-HeT,2,10,greedy,2,62,7.48638391494751,0.04940629005432129
Co-HeT,2,10,greedy,2,63,8.634753227233887,0.049330949783325195
Co-HeT,2,10,greedy,2,64,7.579015254974365,0.049355268478393555
Co-HeT,2,10,greedy,2,65,8.452459335327148,0.04927873611450195
Co-HeT,2,10,greedy,2,66,6.909610271453857,0.049318552017211914
Co-HeT,2,10,greedy,2,67,7.598523139953613,0.04929947853088379
Co-HeT,2,10,greedy,2,68,8.43528938293457,0.04942655563354492
Co-HeT,2,10,greedy,2,69,8.058653831481934,0.049346208572387695
Co-HeT,2,10,greedy,2,70,8.40626335144043,0.04935789108276367
Co-HeT,2,10,greedy,2,71,7.819215774536133,0.049757957458496094
Co-HeT,2,10,greedy,2,72,8.464838981628418,0.05158400535583496
Co-HeT,2,10,greedy,2,73,7.203159809112549,0.049527883529663086
Co-HeT,2,10,greedy,2,74,9.003912925720215,0.0494236946105957
Co-HeT,2,10,greedy,2,75,9.304275512695312,0.04932665824890137
Co-HeT,2,10,greedy,2,76,8.099184036254883,0.049427032470703125
Co-HeT,2,10,greedy,2,77,6.683229446411133,0.04921889305114746
Co-HeT,2,10,greedy,2,78,8.476736068725586,0.04926633834838867
Co-HeT,2,10,greedy,2,79,8.52052116394043,0.04918956756591797
Co-HeT,2,10,greedy,2,80,6.760463714599609,0.0492095947265625
Co-HeT,2,10,greedy,2,81,8.07357406616211,0.049306392669677734
Co-HeT,2,10,greedy,2,82,10.114139556884766,0.04930853843688965
Co-HeT,2,10,greedy,2,83,8.250495910644531,0.05158424377441406
Co-HeT,2,10,greedy,2,84,7.4585723876953125,0.04928851127624512
Co-HeT,2,10,greedy,2,85,6.438791275024414,0.04920315742492676
Co-HeT,2,10,greedy,2,86,6.5346221923828125,0.04927349090576172
Co-HeT,2,10,greedy,2,87,6.2657694816589355,0.049345970153808594
Co-HeT,2,10,greedy,2,88,7.609087944030762,0.0494539737701416
Co-HeT,2,10,greedy,2,89,9.165348052978516,0.04932808876037598
Co-HeT,2,10,greedy,2,90,8.808236122131348,0.04931235313415527
Co-HeT,2,10,greedy,2,91,8.649065971374512,0.04922962188720703
Co-HeT,2,10,greedy,2,92,8.94989013671875,0.04938530921936035
Co-HeT,2,10,greedy,2,93,8.951728820800781,0.04929924011230469
Co-HeT,2,10,greedy,2,94,7.704159736633301,0.04930448532104492
Co-HeT,2,10,greedy,2,95,6.9858078956604,0.04936027526855469
Co-HeT,2,10,greedy,2,96,7.86267614364624,0.04926466941833496
Co-HeT,2,10,greedy,2,97,8.128748893737793,0.049376487731933594
Co-HeT,2,10,greedy,2,98,9.068883895874023,0.049809932708740234
Co-HeT,2,10,greedy,2,99,8.319079399108887,0.04931473731994629
Co-HeT,2,10,greedy,2,100,7.915316581726074,0.048830270767211914
Co-HeT,2,10,greedy,3,1,6.942248344421387,0.7044341564178467
Co-HeT,2,10,greedy,3,2,8.249150276184082,0.05031776428222656
Co-HeT,2,10,greedy,3,3,6.8304948806762695,0.04951667785644531
Co-HeT,2,10,greedy,3,4,10.096475601196289,0.04953932762145996
Co-HeT,2,10,greedy,3,5,7.93282413482666,0.04969477653503418
Co-HeT,2,10,greedy,3,6,7.995273113250732,0.048888444900512695
Co-HeT,2,10,greedy,3,7,6.99343204498291,0.05071878433227539
Co-HeT,2,10,greedy,3,8,8.085613250732422,0.04911017417907715
Co-HeT,2,10,greedy,3,9,7.663234233856201,0.04891324043273926
Co-HeT,2,10,greedy,3,10,9.349239349365234,0.04885292053222656
Co-HeT,2,10,greedy,3,11,8.748815536499023,0.04879307746887207
Co-HeT,2,10,greedy,3,12,5.727897644042969,0.04895496368408203
Co-HeT,2,10,greedy,3,13,7.551692962646484,0.04891061782836914
Co-HeT,2,10,greedy,3,14,8.486483573913574,0.04881930351257324
Co-HeT,2,10,greedy,3,15,6.829237461090088,0.04922890663146973
Co-HeT,2,10,greedy,3,16,7.7911882400512695,0.04883980751037598
Co-HeT,2,10,greedy,3,17,7.994119167327881,0.048840999603271484
Co-HeT,2,10,greedy,3,18,9.370567321777344,0.048805952072143555
Co-HeT,2,10,greedy,3,19,7.352000713348389,0.048900604248046875
Co-HeT,2,10,greedy,3,20,8.029987335205078,0.04880070686340332
Co-HeT,2,10,greedy,3,21,7.788564205169678,0.04874920845031738
Co-HeT,2,10,greedy,3,22,6.535861968994141,0.04885435104370117
Co-HeT,2,10,greedy,3,23,8.69517707824707,0.048775434494018555
Co-HeT,2,10,greedy,3,24,8.768150329589844,0.04884195327758789
Co-HeT,2,10,greedy,3,25,9.69514274597168,0.04877901077270508
Co-HeT,2,10,greedy,3,26,7.580510139465332,0.048824310302734375
Co-HeT,2,10,greedy,3,27,7.749669075012207,0.04875540733337402
Co-HeT,2,10,greedy,3,28,7.4415178298950195,0.050794363021850586
Co-HeT,2,10,greedy,3,29,10.24957275390625,0.04904365539550781
Co-HeT,2,10,greedy,3,30,6.832896709442139,0.04874706268310547
Co-HeT,2,10,greedy,3,31,9.416681289672852,0.04889345169067383
Co-HeT,2,10,greedy,3,32,6.936819553375244,0.04883122444152832
Co-HeT,2,10,greedy,3,33,5.875850677490234,0.049372196197509766
Co-HeT,2,10,greedy,3,34,8.3838529586792,0.049332380294799805
Co-HeT,2,10,greedy,3,35,8.24173641204834,0.0487058162689209
Co-HeT,2,10,greedy,3,36,7.348931789398193,0.04889559745788574
Co-HeT,2,10,greedy,3,37,11.04319953918457,0.04872488975524902
Co-HeT,2,10,greedy,3,38,8.43365478515625,0.04935622215270996
Co-HeT,2,10,greedy,3,39,7.913762092590332,0.049417734146118164
Co-HeT,2,10,greedy,3,40,10.189449310302734,0.04983258247375488
Co-HeT,2,10,greedy,3,41,7.902688026428223,0.04904913902282715
Co-HeT,2,10,greedy,3,42,9.4970703125,0.04875802993774414
Co-HeT,2,10,greedy,3,43,8.605348587036133,0.04899191856384277
Co-HeT,2,10,greedy,3,44,9.2509183883667,0.048810720443725586
Co-HeT,2,10,greedy,3,45,8.353164672851562,0.04897594451904297
Co-HeT,2,10,greedy,3,46,8.13027572631836,0.04885458946228027
Co-HeT,2,10,greedy,3,47,6.044904708862305,0.04904031753540039
Co-HeT,2,10,greedy,3,48,9.375564575195312,0.04921865463256836
Co-HeT,2,10,greedy,3,49,6.934069633483887,0.05067849159240723
Co-HeT,2,10,greedy,3,50,5.399694919586182,0.04917788505554199
Co-HeT,2,10,greedy,3,51,8.486738204956055,0.0487971305847168
Co-HeT,2,10,greedy,3,52,6.0738677978515625,0.048837900161743164
Co-HeT,2,10,greedy,3,53,9.049461364746094,0.04877018928527832
Co-HeT,2,10,greedy,3,54,6.50479793548584,0.04880642890930176
Co-HeT,2,10,greedy,3,55,8.052205085754395,0.04875612258911133
Co-HeT,2,10,greedy,3,56,8.0940580368042,0.048810482025146484
