candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,10,98,N10_K2_M12_I98,7.41069780817117,11.625010128980152,3.196385487362188,311.7550001144409,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,99,N10_K2_M12_I99,7.155461827015067,11.55880374812564,2.752119905904495,89.10400009155273,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,100,N10_K2_M12_I100,8.67162407600949,11.684811116397777,5.658437035621207,3600.001999855041,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,1,N20_K2_M12_I1,10.387736227099705,15.540991908361338,5.234480545838069,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,2,N20_K2_M12_I2,10.435541437287345,16.150577112861633,4.720505761713056,3600.008999824524,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,3,N20_K2_M12_I3,9.533205513568603,14.776900148449494,4.289510878687712,3600.0099999904637,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,4,N20_K2_M12_I4,8.144266535520975,12.175285987279644,4.113247083762305,3600.0159997940063,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,5,N20_K2_M12_I5,9.150387188347718,14.921249738914842,3.379524637780593,3600.016000032425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,6,N20_K2_M12_I6,11.139249624779902,16.93276768084769,5.345731568712114,3600.0060000419617,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,7,N20_K2_M12_I7,11.900681640062304,17.81499988909057,5.986363391034039,3600.0060000419617,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,8,N20_K2_M12_I8,11.011806847492297,16.40086212926736,5.6227515657172304,3600.007999897003,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,9,N20_K2_M12_I9,10.288495948419074,15.600489577452864,4.976502319385285,3600.0069999694824,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,10,N20_K2_M12_I10,10.504801034599726,16.07462972086914,4.934972348330313,3600.0039999485016,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,11,N20_K2_M12_I11,10.503130026304657,15.393661736072696,5.612598316536615,3600.012000083924,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
