category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,20,92,N20_K2_M12_I92,1,8.553269450855833,8.448660657831404,1.2381701344279101
MILP,Gurobi,,2,20,93,N20_K2_M12_I93,1,9.877939683080475,9.713720633572011,1.6905885571888852
MILP,Gurobi,,2,20,94,N20_K2_M12_I94,1,8.928817102328285,8.928817102328285,0.0
MILP,Gurobi,,2,20,95,N20_K2_M12_I95,1,8.9774809470965,8.9774809470965,0.0
MILP,Gurobi,,2,20,96,N20_K2_M12_I96,1,9.380906418328484,9.380906418328484,0.0
MILP,Gurobi,,2,20,97,N20_K2_M12_I97,1,10.18935313625955,10.07817688487513,1.1031385205320985
MILP,Gurobi,,2,20,98,N20_K2_M12_I98,1,8.85061081926743,8.85061081926743,0.0
MILP,Gurobi,,2,20,99,N20_K2_M12_I99,1,9.571002567780916,9.571002567780916,0.0
MILP,Gurobi,,2,20,100,N20_K2_M12_I100,1,10.453959110379191,9.901143074035645,5.583355701557623
MILP,Gurobi,,2,50,1,N50_K2_M12_I1,1,27.063935731787524,13.779659207994234,96.40497143852767
MILP,Gurobi,,2,50,2,N50_K2_M12_I2,1,25.22994874487727,14.969707489013672,68.54002500311799
MILP,Gurobi,,2,50,3,N50_K2_M12_I3,1,21.69643471214159,15.383021160496432,41.041440987274925
MILP,Gurobi,,2,50,4,N50_K2_M12_I4,1,25.136070211751296,15.837926864624023,58.708083618543725
MILP,Gurobi,,2,50,5,N50_K2_M12_I5,1,20.93075672949884,17.070056915283203,22.616795206810735
MILP,Gurobi,,2,50,6,N50_K2_M12_I6,1,31.848272091350143,15.14133644104004,110.33990107390099
MILP,Gurobi,,2,50,7,N50_K2_M12_I7,1,20.994074075363176,15.03950309753418,39.59287045065529
MILP,Gurobi,,2,50,8,N50_K2_M12_I8,1,21.51293769162073,14.367427825927734,49.73409264529642
MILP,Gurobi,,2,50,9,N50_K2_M12_I9,1,21.63713650014721,17.227973783100484,25.593042876416646
MILP,Gurobi,,2,50,10,N50_K2_M12_I10,1,16.793593032284008,14.663854665104305,14.523728008897
MILP,Gurobi,,2,50,11,N50_K2_M12_I11,1,22.26874893657807,15.739477670601389,41.48340499362458
MILP,Gurobi,,2,50,12,N50_K2_M12_I12,1,16.865178727297568,14.728625297546388,14.506129299841064
MILP,Gurobi,,2,50,13,N50_K2_M12_I13,1,20.844718933652388,16.819211959838867,23.933980875118753
