category,method,mode,kappa,size,rpd_n,mean_rpd,sd_rpd,time_s,rpd_rank
Greedy,MVMoE,greedy,3,50,100.0,17.37587922958116,5.8706370338829625,0.3517534947395325,9
Greedy,HDRL,greedy,3,50,100.0,19.929396915524734,6.471821712521422,0.25917210102081295,12
Greedy,TDRL,greedy,3,50,100.0,19.374237099799867,5.874246878737508,0.31671957969665526,11
Greedy,ECHO,greedy,3,50,100.0,16.498305309968035,5.205060844489465,0.2453954410552978,8
Greedy,Co-HeT,greedy,3,50,100.0,5.057798570799808,2.220603752767143,0.2929838705062866,2
Greedy,AM,greedy,3,100,100.0,21.629170614223618,6.666372452532276,0.4937556219100952,10
Greedy,MVMoE,greedy,3,100,100.0,17.550381264399473,5.1087433271884235,0.7007049250602723,7
Greedy,HDRL,greedy,3,100,100.0,31.269614137835198,6.610934994261663,0.5003866338729859,12
Greedy,TDRL,greedy,3,100,100.0,25.675153999599814,6.403224252881429,0.6269681000709534,11
Greedy,ECHO,greedy,3,100,100.0,20.770091772439454,4.566337919558042,0.48544749736785886,8
Greedy,Co-HeT,greedy,3,100,100.0,6.260202109770608,2.610240719622476,0.5779779934883118,2
Sample-1280,AM,sample1280,2,10,100.0,4.874885515357744,4.384760652727407,0.05424532413482661,11
Sample-1280,MVMoE,sample1280,2,10,100.0,5.17748013361538,4.040068392018746,0.07140230655670161,12
Sample-1280,HDRL,sample1280,2,10,100.0,2.5982099952107403,2.172674731235439,0.05493607044219967,8
Sample-1280,TDRL,sample1280,2,10,100.0,2.4656021985722405,2.2403286030924128,0.06301863431930538,7
Sample-1280,ECHO,sample1280,2,10,100.0,4.451215251483123,3.9800533426660327,0.05438844442367549,10
Sample-1280,Co-HeT,sample1280,2,10,100.0,2.168039292619448,1.972721380837672,0.0631921505928039,6
Sample-1280,AM,sample1280,2,20,100.0,7.1811386827225885,3.1522228050549135,0.10131621122360226,10
