method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
Co-HeT,3,20,D-Bimodal,sample1280,100,15.429070580006004,2.394307692689296,22.480193786621,8.3779473733878,9.777720720079625,1
Co-HeT,3,20,D-IID,greedy,100,14.968173482715997,2.4923099905615,22.550892257689007,7.385454707740589,2.8992022058076423,1
Co-HeT,3,20,D-IID,sample1280,100,14.367605141100999,2.390872640754793,22.090975322719995,6.644234959482271,2.1736184042165654,1
Co-HeT,3,20,ID,greedy,100,14.657184439894,1.5130955361035858,22.681774940493998,6.632593939304599,0.0,1
Co-HeT,3,20,ID,sample1280,100,14.161572141647,1.4353451935540993,22.249733829500002,6.073410453796299,0.0,1
Co-HeT,3,20,Joint,greedy,100,15.119738613366998,2.263803542448188,22.938908576967005,7.30056864977023,4.1904428524387685,1
Co-HeT,3,20,Joint,sample1280,100,14.501557101011999,2.1877925092746646,22.291225509648008,6.7118886923769,3.5033338152481237,1
Co-HeT,3,20,P-Lognormal,greedy,100,14.956280277963002,1.7546692199141247,23.034853725432004,6.877706830500199,2.067728950377921,1
Co-HeT,3,20,P-Lognormal,sample1280,100,14.3680556643,1.5359944745580445,22.53399490356,6.2021164250386,1.486804824890519,1
Co-HeT,3,20,P-TruncNormal,greedy,100,14.651121870273998,1.543780078399989,22.620732135771,6.681511604786201,0.010873477472280547,1
Co-HeT,3,20,P-TruncNormal,sample1280,100,14.120563412905001,1.3757708213938693,22.163409442896004,6.077717382908201,-0.21650224225006287,1
Co-HeT,3,50,D-AntiDistance,greedy,100,27.352316508290997,1.910729341870153,45.149972457881006,9.554660558701901,18.302072665021583,1
Co-HeT,3,50,D-AntiDistance,sample1280,100,25.95623095035,1.7485463946213202,42.882378921508,9.0300829792044,17.81186100263501,1
Co-HeT,3,50,D-Bimodal,greedy,100,26.285261089201,4.606886992809151,41.205639228821,11.364882949588289,13.802382502908172,1
