method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
ECHO,3,50,D-AntiDistance,greedy,100,28.613101525303,1.8181238923881302,46.965648880011,10.2605541706079,11.389913116486918,2
ECHO,3,50,D-AntiDistance,sample1280,100,26.720463228225004,1.523628245015067,43.733978195194,9.7069482612591,13.157467688658222,2
ECHO,3,50,D-Bimodal,greedy,100,30.086592211726998,5.47017397127792,43.72351131439301,16.449673109055098,17.141988706927506,2
ECHO,3,50,D-Bimodal,sample1280,100,27.298655324578,4.870138823760857,40.801030883791,13.796279765366501,15.640396491155393,2
ECHO,3,50,D-IID,greedy,100,26.413050937650997,3.9090124958125045,43.104957427978,9.721144447324088,2.894093561525714,2
ECHO,3,50,D-IID,sample1280,100,23.882202539444,3.5693141986690815,39.22733366012599,8.537071418762265,1.2547286594096767,2
ECHO,3,50,ID,greedy,100,25.825442664623,2.051290493296904,43.529835853571,8.1210494756707,0.0,2
ECHO,3,50,ID,sample1280,100,23.703550647492,1.6550727764982827,40.127223396304,7.2798778986912005,0.0,3
ECHO,3,50,Joint,greedy,100,27.069435387853996,4.626672041561451,43.780214538575,10.358656237124801,5.329168961239805,2
ECHO,3,50,Joint,sample1280,100,24.312604006531,4.040834779273191,40.029837932584,8.595370080472458,2.865226195634835,2
ECHO,3,50,P-Lognormal,greedy,100,26.41045645475,1.9735417983727648,43.75538753509799,9.065525374409798,2.455838614792547,4
ECHO,3,50,P-Lognormal,sample1280,100,24.099030463695,1.7116882397744515,40.485776672365,7.712284255027501,1.7166759137680803,4
ECHO,3,50,P-TruncNormal,greedy,100,25.777648531199,1.9892385000285353,43.19321956634601,8.3620774960517,-0.0522269493239377,3
ECHO,3,50,P-TruncNormal,sample1280,100,23.689498729701995,1.695193033632646,39.927700424192,7.4512970352166,-0.04478787711476607,3
HDRL,2,20,D-AntiDistance,greedy,100,13.636911798714,1.5230597956926586,18.914646673201002,8.359176924228501,22.987264908125823,2
HDRL,2,20,D-AntiDistance,sample1280,100,12.449483625891698,1.0876702201463022,17.577728033057,7.3212392187123,20.89217507318261,2
HDRL,2,20,D-Bimodal,greedy,100,12.362536035181897,2.288384605428137,17.044180622098,7.6808914482583,11.517105877833323,2
HDRL,2,20,D-Bimodal,sample1280,100,11.482138084766703,2.1070179029485865,15.937741680145,7.026534489390299,11.475756641366702,2
HDRL,2,20,D-IID,greedy,100,11.243238436578599,2.295056258271487,16.598568181995,5.887908691167241,1.7094030344084459,2
HDRL,2,20,D-IID,sample1280,100,10.2848564505585,2.143665623858804,15.468751802451,5.100961098670111,-0.20632708409633413,2
HDRL,2,20,ID,greedy,100,11.1819202911817,1.3245373744739521,16.888685731886,5.4751548504829,0.0,2
HDRL,2,20,ID,sample1280,100,10.367892086506899,1.089754651661282,15.781598072054,4.9541861009593005,0.0,2
